Κωδικός;Όνομα;Είδη - Λιανική Τιμή;1η Μ.Μ.;Κλάση Φ.Π.Α.
1081700016;ΤΑΦ ΘΗΛ.16-1/2 PRESS-AL PEX (322) BF;12,896;ΤΕΜΑΧΙΑ;Κανονικός
1081600020;ΤΑΦ ΤΡΙΠΛΟ 20-2 PRESS-AL PEX (321) BF;16,616;ΤΕΜΑΧΙΑ;Κανονικός
1081600018;ΤΑΦ ΤΡΙΠΛΟ 18-2 PRESS-AL PEX (321) BF;15,376;ΤΕΜΑΧΙΑ;Κανονικός
1081600016;ΤΑΦ ΤΡΙΠΛΟ 16-2 PRESS-AL PEX (321) BF;11,532;ΤΕΜΑΧΙΑ;Κανονικός
1081500020;ΓΩΝΙΕΣ ΘΗΛ.ΣΤΗΡ.20-1/2 PRESS-AL PEX (333) BF;16,74;TEMAXIA;Κανονικός
1081500018;ΓΩΝΙΕΣ ΘΗΛ.ΣΤΗΡ. 18- 1/2 PRESS-AL PEX (333) BF;15,252;TEMAXIA;Κανονικός
1081500016;ΓΩΝΙΕΣ ΘΗΛ.ΣΤΗΡ.16-1/2 PRESS-AL PEX (333) BF;10,664;TEMAXIA;Κανονικός
1081400032;ΓΩΝΙΕΣ ΘΗΛ.32-1 PRESS-AL PEX (332) BF;31,992;TEMAXIA;Κανονικός
1081400026;"ΓΩΝΙΕΣ ΘΗΛ.26-1"" PRESS-AL PEX (332) BF";29,264;TEMAXIA;Κανονικός
1081400020;ΓΩΝΙΕΣ ΘΗΛ.20-1/2 PRESS-AL PEX (332) BF;10,664;TEMAXIA;Κανονικός
1081400018;ΓΩΝΙΕΣ ΘΗΛ. 18-1/2 PRESS-AL PEX (332) BF;9,548;ΤΕΜΑΧΙΑ;Κανονικός
1081400016;ΓΩΝΙΕΣ ΘΗΛ. 16-1/2 PRESS-AL PEX (332) BF;8,804;ΤΕΜΑΧΙΑ;Κανονικός
1081300020;"ΓΩΝΙΕΣ ΑΡΣ.20-1/2"" PRESS-AL PEX (335) BF";14,012;TEMAXIA;Κανονικός
1081300018;"ΓΩΝΙΕΣ ΑΡΣ.18-1/2"" PRESS-AL PEX (335) BF";11,036;TEMAXIA;Κανονικός
1081300016;"ΓΩΝΙΕΣ ΑΡΣ.16-1/2"" PRESS-AL PEX (335) BF";7,936;TEMAXIA;Κανονικός
1081200020;ΡΑΚΟΡ ΔΙΠΛO 20-20 PRESS-AL PEX (343) BF;11,532;TEMAXIA;Κανονικός
1081200018;ΡΑΚΟΡ ΔΙΠΛO 18-18 PRESS-AL PEX (343) BF;9,672;TEMAXIA;Κανονικός
1081200016;ΡΑΚΟΡ ΔΙΠΛΟ 16-16 PRESS-AL PEX (343) BF;7,44;ΤΕΜΑΧΙΑ;Κανονικός
1081100032;ΡΑΚΟΡ ΘΗΛ.32-1 PRESS-AL PEX (342) BF;19,84;TEMAXIA;Κανονικός
1081100026;ΡΑΚΟΡ ΘΗΛ.26-1 PRESS-AL PEX (342) BF;16,616;TEMAXIA;Κανονικός
1081100020;ΡΑΚΟΡ ΘΗΛ.20-1/2 PRESS-AL PEX (342) BF;8,804;TEMAXIA;Κανονικός
1081100018;ΡΑΚΟΡ ΘΗΛ.18-1/2 PRESS-AL PEX (342) BF;8,308;ΤΕΜΑΧΙΑ;Κανονικός
1081100016;ΡΑΚΟΡ ΘΗΛ.16-1/2 PRESS-AL PEX (342) BF;6,076;ΤΕΜΑΧΙΑ;Κανονικός
1081000032;ΡΑΚΟΡ ΑΡΣ.32-3 PRESS-AL PEX (341) BF;17,98;TEMAXIA;Κανονικός
1081000026;ΡΑΚΟΡ ΑΡΣ.26-1 PRESS-AL PEX (341) BF;15,252;TEMAXIA;Κανονικός
1081000020;ΡΑΚΟΡ ΑΡΣ.20-1/2 PRESS-AL PEX (341) BF;5,952;TEMAXIA;Κανονικός
1081000018;ΡΑΚΟΡ ΑΡΣ.18-1/2 PRESS-AL PEX (341) BF;5,456;ΤΕΜΑΧΙΑ;Κανονικός
1081000016;ΡΑΚΟΡ ΑΡΣ.16- 1/2 PRESS-AL PEX (341) BF;4,96;ΤΕΜΑΧΙΑ;Κανονικός
1080900606;ΓΩΝ. ΜΗΧ.ΣΥΣΦ.ΘΗΛ.(24χ19) - 1/2 (233) BF;6,448;TEMAXIA;Κανονικός
1080900605;ΓΩΝ. ΜΗΧ.ΣΥΣΦ.ΑΡΣ.(24χ19) - 1/2 (232) BF;6,2;TEMAXIA;Κανονικός
1080900604;ΤΑΦ ΜΗΧ.ΣΥΣΦ.ΘΗΛ.(24χ19) - 1/2 (223) BF;7,192;TEMAXIA;Κανονικός
1080900603;ΤΑΦ ΜΗΧ.ΣΥΣΦ.ΑΡΣ. (24χ19)  -1/2  (222) BF;6,944;TEMAXIA;Κανονικός
1080900602;ΓΩΝ. ΜΗΧ.ΣΥΣΦ.ΑΡΣ. (24χ19) (231) BF;5,456;TEMAXIA;Κανονικός
1080900601;ΤΑΦ ΜΗΧ.ΣΥΣΦ ΑΡΣ.(24χ19) (221) BF;6,448;TEMAXIA;Κανονικός
1080900510;ΕΞΑΡΤΗΜΑ ΣΠΑΣΤΟ (24X19)  (19) BF;12,152;ΤΕΜΑΧΙΑ;Κανονικός
1080900509;ΑΝΤΑΠΤΟΡΑΣ ΚΩΝΙΚΟΣ ΕΝΣ.ΒΡ.ΜΕ O-RING (62) BF;1,364;TEMAXIA;Κανονικός
1080900508;ΑΝΤΑΠΤΟΡΑΣ ΜΕΙΩΤ.ΜΠΛΕ -ΜΠΕΖ (919) BF;4,03;TEMAXIA;Κανονικός
1080900507;ΚΛΕΙΔΙ ΕΙΔΙΚΟ  (17) BF;22,32;TEMAXIA;Κανονικός
1080900506;ΚΛΕΙΔΙ ΓΙΑ ΣΥΣΦ.ΡΑΚΟΡ ΔΙΠΛΟ 25mm-27mm (2527) BF;34,472;TEMAXIA;Κανονικός
1080900505;ΡΑΚΟΡ ΣΠΑΣΤΟ Α - Θ  (24X19) Φ16 (19) BF;12,152;ΤΕΜΑΧΙΑ;Κανονικός
1080900504;ΣΥΣΤΟΛΗ  16-18 (24Χ19 ) (18) BF;5,828;TEMAXIA;Κανονικός
1080900503;ΜΑΣΤΟΙ ΔΙΠΛΟΙ ΧΡΩΜΕ (24Χ19) (242) BF;4,34;TEMAXIA;Κανονικός
1080900502;ΜΑΣΤΟΙ ΑΡΣ. ΧΡΩΜΕ 1/2- (24Χ19) (15) BF;3,72;TEMAXIA;Κανονικός
1080900501;ΜΑΣΤΟΙ ΘΗΛ.ΧΡΩΜΕ 1/2-(24Χ19) (16) BF;3,72;TEMAXIA;Κανονικός
1080900416;ΓΩΝΙΕΣ ΘΗΛ. ΛΑΜΑ ΧΑΛΚΟΥ 15 - 1/2 (805) BF;15,748;TEMAXIA;Κανονικός
1080900415;ΓΩΝΙΕΣ ΘΗΛ.ΣΤΗΡ. 15 - 1/2 (8015) BF;5,58;TEMAXIA;Κανονικός
1080900411;ΜΟΥΦΕΣ ΟΡΕΙΧ. Φ10  (250) BF;1,116;TEMAXIA;Κανονικός
1080900410;ΑΝΤΑΠΤΟΡΑΣ ΕΝΣ.ΒΡ. 1/2 - 3/4 ΔΙΑΚ. ΤΥΠ.ΗΤΑ (61) BF;3,72;TEMAXIA;Κανονικός
1080900409;ΣΥΣΤΟΛΕΣ 1/2 - 3/4 ΧΡΩΜΕ O-RING (24) BF;2,356;TEMAXIA;Κανονικός
1080900408;ΣΥΣΤΟΛΗ 24Χ19 ΘΗΛ.-1/2 ΑΡΣ. (34) BF;5,58;TEMAXIA;Κανονικός
1080900407;ΤΑΠΕΣ ΘΗΛ.ΧΡΩΜΕ (24X19) (30) BF;3,1;TEMAXIA;Κανονικός
1080900406;ΤΑΠΕΣ ΘΗΛ.11/4 ΧΡΩΜΕ (12) BF;8,432;TEMAXIA;Κανονικός
1080900405;ΤΑΠΕΣ ΘΗΛ.3/4 ΧΡΩΜΕ (12) BF;4,712;TEMAXIA;Κανονικός
1080900404;ΤΑΠΕΣ ΘΗΛ.1' ΧΡΩΜΕ (12) BF;4,836;TEMAXIA;Κανονικός
1080900403;ΤΑΠΕΣ ΑΡΣ.11/4 ΧΡΩΜΕ (11) BF;9,3;TEMAXIA;Κανονικός
1080900402;ΤΑΠΕΣ ΑΡΣ.3/4 ΧΡΩΜΕ (11) BF;5,208;TEMAXIA;Κανονικός
1080900401;"ΤΑΠΕΣ ΑΡΣ.1"" ΧΡΩΜΕ (11) BF";5,456;TEMAXIA;Κανονικός
1080900306;ΚΟΛΛΕΚΤΕΡ ΓΩΝ.150' ΙΙΙ 3/4 SMART (772) BF;38,316;TEMAXIA;Κανονικός
1080900305;ΚΟΛΛΕΚΤΕΡ ΓΩΝ. ΙΙ 3/4 SMART (771) BF;25,544;TEMAXIA;Κανονικός
1080900304;ΚΟΛΛΕΚΤΕΡ ΓΩΝ.ΙΙΙ 3/4 TOP (552) BF;46,004;TEMAXIA;Κανονικός
1080900303;"ΚΟΛΛΕΚΤΕΡ ΓΩΝ. ΙΙΙ 1"" TOP (552) BF";49,848;TEMAXIA;Κανονικός
1080900302;ΚΟΛΛΕΚΤΕΡ ΓΩΝ. ΙΙ 3/4 TOP (551) BF;33,232;TEMAXIA;Κανονικός
1080900301;ΚΟΛΛΕΚΤΕΡ ΓΩΝ. ΙΙ 1'' TOP (551) BF;37,2;ΤΕΜΑΧΙΑ;Κανονικός
1080900232;ΡΑΚΟΡ ΣΥΝΔ.(24Χ19) ΧΑΛΚΟΥ Φ18 (04-05) BF;2,852;TEMAXIA;Κανονικός
1080900231;ΡΑΚΟΡ ΣΥΝΔ.(24Χ19) ΧΑΛΚΟΥ Φ16 (04-05) BF;2,852;TEMAXIA;Κανονικός
1080900230;ΡΑΚΟΡ ΣΥΝΔ.(24Χ19)  ΧΑΛΚΟΥ Φ15 (04-05) BF;2,852;TEMAXIA;Κανονικός
1080900225;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) 20-2.9 AL-PEX (00-02-03) BF;8,928;TEMAXIA;Κανονικός
1080900224;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) 20-2 AL-PEX (00-02-03) BF;7,44;TEMAXIA;Κανονικός
1080900223;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) 18 -2  AL-PEX (00-02-03) BF;5,9644;TEMAXIA;Κανονικός
1080900222;ΡΑΚΟΡ ΣΥΝΔ. (24X19) 16,2 -2,6 AL-PEX (00-02-03)9 REHAU)BF;5,952;TEMAXIA;Κανονικός
1080900221;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) 16 -2  AL-PEX (00-02-03) BF;6,076;TEMAXIA;Κανονικός
1080900220;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) PEX 20 - 2 (01-02-03) BF;7,068;ΒΑΡΟΣ (g);Κανονικός
1080900219;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) PEX 18 - 2.5 (01-02-03) BF;4,836;TEMAXIA;Κανονικός
1080900218;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) PEX 18 - 2 (01-02-03) BF;4,836;TEMAXIA;Κανονικός
1080900216;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) PEX 17 - 2 (01-02-03) BF;5,084;TEMAXIA;Κανονικός
1080900215;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) PEX 16 - 2.2 (01-02-03) BF;4,34;TEMAXIA;Κανονικός
1080900214;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) PEX 16 - 2  (01-02-03) BF;4,34;TEMAXIA;Κανονικός
1080900213;ΡΑΚΟΡ ΣΥΝΔ. (24Χ19) PEX 15 - 2.5 (01-02-03);4,464;TEMAXIA;Κανονικός
1080900211;ΡΑΚΟΡ ΤΡΕΛΟ (24Χ19) 20-2 PRESS (344) BF;10,292;TEMAXIA;Κανονικός
1080900210;ΡΑΚΟΡ ΤΡΕΛΟ (24Χ19) 18- 2 PRESS  (344)BF;9,548;TEMAXIA;Κανονικός
1080900209;ΡΑΚΟΡ ΤΡΕΛΟ (24Χ19) 16-2 PRESS (344) BF;7,316;TEMAXIA;Κανονικός
1080900204;ΚΟΛΛΕΚΤΕΡ  V  1' (SMART FORM)  (1664) BF;70,184;TEMAXIA;Κανονικός
1080900203;ΚΟΛΛΕΚΤΕΡ ΙV 1' SMART FORM (1663) BF;56,172;TEMAXIA;Κανονικός
1080900202;ΚΟΛΛΕΚΤΕΡ III 1' SMART FORM (1662) BF;42,16;TEMAXIA;Κανονικός
1080900201;ΚΟΛΛΕΚΤΕΡ ΙΙ 1' SMART FORM (1661) BF;28,148;TEMAXIA;Κανονικός
1080900109;ΚΟΛΛΕΚΤΕΡ  ΙΙΙΙ  1' - 1/2 STATUS FORM (652)  BF;28,024;ΤΕΜΑΧΙΑ;Κανονικός
1080900108;ΚΟΛΛΕΚΤΕΡ ΙΙ 1' -1/2  STATUS FORM (651) BF;20,46;TEMAXIA;Κανονικός
1080900107;ΚΟΛΛΕΚΤΕΡ ΙV 11/4 (24Χ19) PROTO (664) BF;96,968;TEMAXIA;Κανονικός
1080900105;ΡΑΚΟΡ ΣΥΝΔ.(24Χ19)  ΧΑΛΚΟΥ Φ15 ΜΑΥΡΟ (06-07-80) BF;4,896;Τεμάχια;Κανονικός
1080900104;ΚΟΛΛΕΚΤΕΡ ΙΙI 11/4 (24X19) PROTO (662) BF;72,788;TEMAXIA;Κανονικός
1080900103;"ΚΟΛΛΕΚΤΕΡ ΙΙΙ 1"" (24X19)PROTO (662)  BF";57,536;TEMAXIA;Κανονικός
1080900102;ΚΟΛΛΕΚΤΕΡ ΙΙ 11/4 (24Χ19) PROTO (661) BF;48,484;ΤΕΜΑΧΙΑ;Κανονικός
1080900101;"ΚΟΛΛΕΚΤΕΡ ΙΙ 1"" (24X19) PROTO (661) BF";38,316;TEMAXIA;Κανονικός
1080804560;ΘΕΡΜΟΣΤ. ΣΥΓΚΡΟTHMA SOLAR KIT(4560) BF;283,96;TEMAXIA;Κανονικός
1080801257;ΣΕΤ ΡΑΚΟΡ 1'' & ΟΥΡΑ 3/4  ΑΝΤ/ΦΗ-ΦΙΛΤΡΟ (3460)BF;14,88;TEMAXIA;Κανονικός
1080801256;ΣΕΤ ΡΑΚΟΡ 1'' & ΟΥΡΑ 1/2 ΘΕΡΜ. ΒΑΛΒ (1256) BF;9,548;TEMAXIA;Κανονικός
1080800716;ΜΕΙΩΤΗΣ ΠΙΕΣΕΩΣ 1/2 ΠΡΟΡΥΘΜ.ME ΜΑΝ/ΡΟ (716) BF;102,672;TEMAXIA;Κανονικός
1080800714;ΑΥΤ.ΠΛΗΡΩΣΕΩΣ 1/2 ΠΡΟΡΥΘΜ.ΜΕ ΜΑΝ/ΤΡΟ(714) BF;69,068;TEMAXIA;Κανονικός
1080800503;ΤΗΛΕΣKΟΠΙΚΟΣ ΜΑΣΤΟΣ ΙΣΙΑ ΟΥΡΑ 30-45mm (503) BF;11,718;TEMAXIA;Κανονικός
1080800416;ΘΕΡΜΟΜΑΝΟΜΕΤΡΟ 1/4 (0-120ο/ 0-10Bar) (416) BF;21,08;TEMAXIA;Κανονικός
1080800306;ΜΑΓΝΗΤΙΚΟ ΦΙΛΤΡΟ ΘΗΛ.3/4 POWER MAG (2421) BF;167,4;TEMAXIA;Κανονικός
1080800305;ΜΑΝΟΜΕΤΡΟ Φ50 0-6 BAR (417) BF;7,936;TEMAXIA;Κανονικός
1080800304;ΒΑΛΒΙΔΑ ΑΣΦ.ΗΛΙΑΚΩΝ 10 BAR (33) BF;37,572;TEMAXIA;Κανονικός
1080800303;ΒΑΛΒΙΔΑ ΑΣΦ.ΗΛΙΑΚΩΝ 8 BAR (33) BF;37,572;TEMAXIA;Κανονικός
1080800302;ΒΑΛΒΙΔΑ ΑΣΦ.ΗΛΙΑΚΩΝ 6 BAR (33) BF;29,388;TEMAXIA;Κανονικός
1080800301;ΒΑΛΒΙΔΑ ΑΣΦ.ΗΛΙΑΚΩΝ 3 BAR (33) BF;29,388;TEMAXIA;Κανονικός
1080800205;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 3/4 10 BAR (23) BF;16,492;TEMAXIA;Κανονικός
1080800204;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 3/4 8 BAR (23) BF;16,492;TEMAXIA;Κανονικός
1080800203;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 3/4 6 BAR (23) BF;15,376;TEMAXIA;Κανονικός
1080800202;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 3/4 4 BAR (23) BF;15,376;TEMAXIA;Κανονικός
1080800201;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 3/4 3 BAR (23) BF;15,376;TEMAXIA;Κανονικός
1080800200;ΠΑΞΙΜΑΔΙ 3/4-ΟΥΡΑ 1/2 Ν.ΚΩΔ (200) BF;5,084;TEMAXIA;Κανονικός
1080800105;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 1/2 10 BAR (23) BF;12,152;TEMAXIA;Κανονικός
1080800104;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 1/2 8 BAR (23) BF;12,152;TEMAXIA;Κανονικός
1080800103;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 1/2 6 BAR (23) BF;11,036;TEMAXIA;Κανονικός
1080800102;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 1/2 4 BAR (23) BF;11,036;TEMAXIA;Κανονικός
1080800101;ΒΑΛΒΙΔΑ ΑΣΦΑΛΕΙΑΣ 1/2 3 BAR (23) BF;11,036;TEMAXIA;Κανονικός
1080800034;ΑΥΤ.ΕΞΑΕΡ.ΔΙΚΤΥΟΥ 1/2 ΓΩΝΙΑΚΟ SOLAR (815) BF;20,088;TEMAXIA;Κανονικός
1080800033;ΑΥΤ.ΕΞΑΕΡ.ΔΙΚΤΥΟΥ 1/2 ΓΩΝΙΑΚΟ (810) BF;12,4;TEMAXIA;Κανονικός
1080800032;ΑΥΤ.ΕΞΑΕΡ.ΔΙΚΤΥΟΥ 3/8 SOLAR (31) BF;18,724;TEMAXIA;Κανονικός
1080800031;ΑΥΤ.ΕΞΑΕΡ.ΔΙΚΤΥΟΥ 1/2  SOLAR (31-32) BF;19,096;TEMAXIA;Κανονικός
1080800023;ΒΑΛΒΙΔΑ ΕΞΑΕΡ.ΔΙΚΤΥΟΥ 1/2 (22) BF;5,704;ΤΕΜΑΧΙΑ;Κανονικός
1080800022;ΑΥΤ.ΕΞΑΕΡ.ΔΙΚΤΥΟΥ 10 BAR 1/2 ΚΑΘΕΤΟ (42) BF;11,408;TEMAXIA;Κανονικός
1080800021;ΑΥΤ.ΕΞΑΕΡ.ΔΙΚΤΥΟΥ 1/2  (21) BF;11,408;TEMAXIA;Κανονικός
1080702956;"ΚΟΡΜ,ΟΣ ΓΩΝ.ΒΑΝΑ 1"" Θ-Θ STATUS FORM (2955) BF";55,18;TEMAXIA;Κανονικός
1080702955;ΚΟΡΜΟΣ ΓΩΝ.ΒΑΝΑ 3/4 Θ-Θ STATUS FORM (2955) BF;39,06;TEMAXIA;Κανονικός
1080702951;ΚΟΡΜΟΣ ΓΩΝ.ΒΑΝΑ 1' Θ.ΡΑΚ.STATUS FORM (2950) BF;72,54;TEMAXIA;Κανονικός
1080702950;ΚΟΡΜΟΣ ΓΩΝ.ΒΑΝΑ 3/4 Θ.ΡΑΚ.STATUS FORM (2950) BF;52,7;TEMAXIA;Κανονικός
1080702946;ΚΟΡΜΟΣ ΓΩΝ.ΒΑΝΑ 1' Α-Θ STATUS FORM (2945) BF;55,18;TEMAXIA;Κανονικός
1080702945;ΚΟΡΜΟΣ ΓΩΝ.ΒΑΝΑ 3/4 Α-Θ STATUS FORM (2945) BF;39,06;TEMAXIA;Κανονικός
1080702931;"ΚΟΡΜΟΣ ΓΩΝ. ΒΑΝΑ 1"" Α.ΡΑΚ.STATUS FORM (2930) BF";70,184;TEMAXIA;Κανονικός
1080702930;ΚΟΡΜΟΣ ΓΩΝ. ΒΑΝΑ 3/4 Α.ΡΑΚ.STATUS FORM (2930) BF;50,84;TEMAXIA;Κανονικός
1080702926;ΚΟΡΜΟΣ ΓΩΝ.ΒΑΝΑ 1' ΡΑΚ.Θ..STATUS FORM (2925) BF;70,184;TEMAXIA;Κανονικός
1080702925;ΚΟΡΜΟΣ ΓΩΝ.ΒΑΝΑ 3/4 ΡΑΚ.Θ.STATUS FORM (2925) BF;50,84;TEMAXIA;Κανονικός
1080702921;ΚΟΡΜΟΣ ΓΩΝ. ΒΑΝΑ 1' ΡΑΚ.STATUS FORM (2920) BF;79,98;TEMAXIA;Κανονικός
1080702920;ΚΟΡΜΟΣ ΓΩΝ. ΒΑΝΑ 3/4 ΡΑΚ.STATUS FORM (2920) BF;57,66;TEMAXIA;Κανονικός
1080603977;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Α-Θ-Θ STATUS FORM (3975) BF;69,44;TEMAXIA;Κανονικός
1080603976;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Α-Θ-Θ STATUS FORM (3975) BF;48,98;TEMAXIA;Κανονικός
1080603975;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Α-Θ-Θ STATUS FORM (3975) BF;34,1;TEMAXIA;Κανονικός
1080603972;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Α-Θ-Ρ. STATUS FORM (3970) BF;81,22;TEMAXIA;Κανονικός
1080603971;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Α-Θ-Ρ.STATUS FORM (3970) BF;57,66;TEMAXIA;Κανονικός
1080603970;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Α-Θ-Ρ STATUS FORM (3970) BF;37,82;TEMAXIA;Κανονικός
1080603967;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Θ.ΡΑΚ.STATUS FORM (3965) BF;80,6;TEMAXIA;Κανονικός
1080603966;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Θ.ΡΑΚ.STATUS FORM (3965) BF;57,04;TEMAXIA;Κανονικός
1080603965;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Θ.ΡΑΚ.STATUS FORM (3965) BF;37,2;TEMAXIA;Κανονικός
1080603962;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1 'Α-Θ-Α STATUS FORM (3960) BF;70,06;TEMAXIA;Κανονικός
1080603961;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Α-Θ-Α STATUS FORM (3960) BF;49,6;TEMAXIA;Κανονικός
1080603960;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Α-Θ-Α STATUS FORM (3960) BF;34,72;TEMAXIA;Κανονικός
1080603958;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Θ-Θ STATUS FORM (3955) BF;68,82;TEMAXIA;Κανονικός
1080603956;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Θ-Θ STATUS FORM (3955) BF;48,98;TEMAXIA;Κανονικός
1080603955;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Θ-Θ STATUS FORM (3955) BF;34,1;TEMAXIA;Κανονικός
1080603952;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Θ.ΡΑΚ. STATUS FORM (3950) BF;92,38;TEMAXIA;Κανονικός
1080603951;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Θ.ΡΑΚ.STATUS FORM (3950) BF;65,1;TEMAXIA;Κανονικός
1080603950;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Θ.ΡΑΚ.STATUS FORM(3950) BF;40,92;TEMAXIA;Κανονικός
1080603947;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Θ.ΡΑΚ.STATUS FORM (3945) BF;81,22;TEMAXIA;Κανονικός
1080603946;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Θ.ΡΑΚ.STATUS FORM (3945) BF;57,04;TEMAXIA;Κανονικός
1080603945;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Θ.ΡΑΚ.STATUS FORM (3945) BF;37,82;TEMAXIA;Κανονικός
1080603942;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Α.ΡΑΚ.STATUS FORM (3940) BF;93;TEMAXIA;Κανονικός
1080603941;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Α.ΡΑΚ.STATUS FORM (3940) BF;65,1;TEMAXIA;Κανονικός
1080603940;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Α.ΡΑΚ.STATUS FORM (3940) BF;40,92;TEMAXIA;Κανονικός
1080603937;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Θ.ΡΑΚ.STATUS FORM (3935) BF;91,76;TEMAXIA;Κανονικός
1080603936;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Θ.ΡΑΚ.STATUS FORM (3935) BF;65,1;TEMAXIA;Κανονικός
1080603935;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Θ.ΡΑΚ.STATUS FORM (3935) BF;40,92;TEMAXIA;Κανονικός
1080603932;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Α.ΡΑΚ.STATUS FORM(3930) BF;81,84;TEMAXIA;Κανονικός
1080603931;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Α.ΡΑΚ.STATUS FORM (3930) BF;57,66;TEMAXIA;Κανονικός
1080603930;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2  Α.ΡΑΚ.STATUS FORM(3930) BF;37,82;TEMAXIA;Κανονικός
1080603927;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1' Θ.ΡΑΚ.STATUS FORM(3925) BF;80,6;TEMAXIA;Κανονικός
1080603926;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 Θ.ΡΑΚ.STATUS FORM (3925) BF;57,04;TEMAXIA;Κανονικός
1080603925;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 Θ.ΡΑΚ.STATUS FORM (3925) BF;37,2;TEMAXIA;Κανονικός
1080603923;"ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 11/4"" STATUS FORM (3920) BF";130,2;Τεμάχια;Κανονικός
1080603922;"ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1"" STATUS FORM (3920) BF";97,34;TEMAXIA;Κανονικός
1080603921;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 3/4 STATUS FORM (3920) BF;68,2;TEMAXIA;Κανονικός
1080603920;ΚΟΡΜΟΣ ΤΡΙΟΔΗ ΒΑΝΑ 1/2 STATUS FORM (3920) BF;40,92;TEMAXIA;Κανονικός
1080504932;ΚΟΡΜΟΣ ΔΙΟΔΗ ΒΑΝΑ 11/4 Θ-Θ SMART FORM (1930) BF;53,63;TEMAXIA;Κανονικός
