Κωδικός;Όνομα;Είδη - Λιανική Τιμή;1η Μ.Μ.;Κλάση Φ.Π.Α.
ΚΑΝ-1802003004;ΒΟΗΘΗΤΙΚΟ ΜΟΤΕΡ 230V NC K-800011 90328900;21,08;TEMAXIA;Κανονικός
ΚΑΝ-1802003001;ΠΡΟΣΑΡΜΟΓΕΑΣ ΒΟΗΘ.ΜΟΤΕΡ Μ30Χ1,5 39269097;1,5996;TEMAXIA;Κανονικός
ΚΑΝ-1800255000;ΠΡΟΦΙΛ ΑΡΜΟΥ ΔΙΑΣΤΟΛΗΣ 10Χ150mm 25m 39191080;2,3312;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-1800191001;ΚΛΙΠΣ ΤΥΠΟΥ U ΓΙΑ TACKER 14-18 42mm 1000ΤΕΜ;36,828;ΣΕΤ;Κανονικός
ΚΑΝ-1800183013;ΑΥΤΟΚΟΛΛΗΤΗ ΤΑΙΝΙΑ ΜΕ ΛΟΓΟΤΥΠΟ KAN 39191019;3,2736;TEMAXIA;Κανονικός
ΚΑΝ-1800183003;ΚΑΡΦΙΑ ΓΙΑ ΣΤΕΡΕΩΣΗ ΑΛΟΥΝ. 8mm L=94mm 39259080;0,2902;TEMAXIA;Κανονικός
ΚΑΝ-1800014005;ΠΡΟΣΘΕΤΙΚΟ ΓΑΛΑΚΤΩΜΑ BETOKAN PLUS -10L 38244000;98,8776;TEMAXIA;Κανονικός
ΚΑΝ-1800014001;ΠΡΟΣΘΕΤΙΚΟ ΓΑΛΑΚΤΩΜΑ BETOKAN -10L 38244000;51,6584;ΣΥΣΚΕΥΑΣΙΑ;Κανονικός
ΚΑΝ-1700218003;ΠΛΑΣΤ.ΚΑΜΠΥΛΗ ΣΤΗΡΙΞΗΣ 14-18 39259080;0,7738;Τεμάχια;Κανονικός
ΚΑΝ-1700210025;ΔΙΠΛΗ ΜΕΤΑΛ.ΠΛΑΚΕΤΑ ΕΠΙΤΟΙΧΙΑ ΓΙΑ ΣΤΗΡ.ΓΩΝ..L=80,100,150mm 73269060;5,451;Τεμάχια;Κανονικός
ΚΑΝ-1700210014;ΔΙΠΛΗ ΜΕΤΑΛ.ΠΛΑΚΕΤΑ ΕΠΙΤΟΙΧΙΑ.L=80,150mm 73269060;5,89;TEMAXIA;Κανονικός
ΚΑΝ-1629194002;ΑΝΟΞ.ΣΩΛΗΝΑ 1.4404 ΙΝΟΧ Φ18Χ1,0 6Μ 73064080;19,0216;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-1609257046;ΤΑΦ ΑΝΟΞ. Φ18 73072980 KANTHERM;25,6308;Τεμάχια;Κανονικός
ΚΑΝ-1609080002;ΜΟΥΦΑ ΑΝΟΞ. Φ18 73072980 KANTHERM;18,5057;Τεμάχια;Κανονικός
ΚΑΝ-1609068151;ΓΩΝΙΑ ΑΝΟΞ. Φ18 90ο 73072980 KANTHERM;17,5385;Τεμάχια;Κανονικός
ΚΑΝ-1609068080;ΓΩΝΙΑ ΑΝΟΞ. Φ18 45ο 73072980 KANTHERM;7,65;Τεμάχια;Κανονικός
ΚΑΝ-1609045006;ΡΑΚΟΡ ΑΡΣ.ΑΝΟΞ.1,4404 -ΙΝΟΧ 18Χ1/2 73072910;9,6589;Τεμάχια;Κανονικός
ΚΑΝ-1509257014;ΤΑΦ ΧΑΛ.Φ35 73079980;8,8833;Τεμάχια;Κανονικός
ΚΑΝ-1509245008;ΜΟΥΦΑ ΧΑΛ.Φ35 73079980;3,3926;Τεμάχια;Κανονικός
ΚΑΝ-1509182023;ΣΤΗΡ.O-RING LPB ΑΝΟΞ. Φ18 40169300 KANTHERM;0,6609;Τεμάχια;Κανονικός
ΚΑΝ-1509068058;ΚΑΜΠ.ΧΑΛ Φ35 90ο 73079980;8,422;Τεμάχια;Κανονικός
ΚΑΝ-1509068041;ΓΩΝΙΑ ΧΑΛ.Φ35 90ο 73079980;8,422;Τεμάχια;Κανονικός
ΚΑΝ-1509068027;ΚΑΜΠ.ΧΑΛ.Φ35 45ο 73079980;6,2942;Τεμάχια;Κανονικός
ΚΑΝ-1509068010;ΓΩΝΙΑ ΧΑΛ.Φ35 45ο 73079980;6,815;Τεμάχια;Κανονικός
ΚΑΝ-1509045012;ΜΑΣΤΟΣ ΑΡΣ.ΧΑΛ.35Χ11/4 73079910;8,0649;Τεμάχια;Κανονικός
ΚΑΝ-1414183023;ΕΡΜΑΡΙΟ 750-850Χ1200Χ110-160 73269098;188,3882;Τεμάχια;Κανονικός
ΚΑΝ-1414183022;ΕΡΜΑΡΙΟ 750-850Χ1000Χ110-160 73269098;129,6048;TEMAXIA;Κανονικός
ΚΑΝ-1414183021;ΕΡΜΑΡΙΟ 750-850Χ850Χ110-160 73269098;109,864;TEMAXIA;Κανονικός
ΚΑΝ-1414183020;ΕΡΜΑΡΙΟ 750-850Χ700Χ110-160 73269098;99,758;TEMAXIA;Κανονικός
ΚΑΝ-1414183019;ΕΡΜΑΡΙΟ 750Χ850Χ550Χ110-160 73269098;88,536;TEMAXIA;Κανονικός
ΚΑΝ-1414183018;ΕΡΜΑΡΙΟ 750-850Χ450Χ110-160 73269098;79,236;TEMAXIA;Κανονικός
ΚΑΝ-1346103005;ΓΚΡΟΥΠ ΚΥΚΛΟΦΟΡΗΤΩΝ KVS=2.5 20-43o C 84137030;380,2361;TEMAXIA;Κανονικός
ΚΑΝ-1316157147;HKV-D10 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ MAX SERIES 84818069;263,252;TEMAXIA;Κανονικός
ΚΑΝ-1316157087;HKV-012 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;254,82;TEMAXIA;Κανονικός
